RelativeStrength,CmeRadius,DeltaOrientation,ApexCoeff,Helicity,bgRunIdx,realization
0.9312499999999999,0.7362500000000001,34.425,1.2171875,-1.0,13.0,[4]
1.80125,0.42625,27.224999999999994,1.1440625,1.0,20.0,[6]
1.76375,0.72875,30.375,1.2359375,-1.0,19.0,[5]
1.68125,0.45625,33.974999999999994,1.0184375,-1.0,14.0,[1]
1.0587499999999999,0.73125,-4.725000000000001,1.0090625,-1.0,17.0,[5]
1.7337500000000001,0.37875,-40.725,0.9134375,-1.0,19.0,[5]
0.54125,0.5662499999999999,-20.924999999999997,1.0240625,-1.0,18.0,[1]
1.77125,0.58125,15.524999999999999,1.1553125,-1.0,14.0,[1]
1.80875,0.59625,-32.625,1.0990625,-1.0,19.0,[5]
1.01375,0.75125,14.625,0.9340625,-1.0,14.0,[1]
1.90625,0.57375,39.375,1.2434375,1.0,17.0,[5]
1.3587500000000001,0.6812499999999999,40.724999999999994,0.8759375,1.0,14.0,[1]
1.5162499999999999,0.46125,8.325000000000003,1.2228124999999999,-1.0,13.0,[4]
1.8912499999999999,0.49375,22.275000000000006,1.2096875,-1.0,18.0,[1]
1.6512499999999999,0.74625,24.52499999999999,0.9603125,1.0,16.0,[1]
0.51875,0.55125,24.974999999999994,1.1721875,1.0,20.0,[6]
1.91375,0.35375,4.274999999999999,1.2396875,-1.0,14.0,[1]
1.9212500000000001,0.64125,26.325000000000003,1.0728125,-1.0,11.0,[1]
0.54875,0.44375,-38.025,1.0596875,1.0,20.0,[6]
1.85375,0.34375,-5.625,0.9246875,1.0,15.0,[1]
0.55625,0.72375,-1.5750000000000028,1.1515625,-1.0,19.0,[5]
1.2462499999999999,0.6912499999999999,16.424999999999997,0.9809375,-1.0,13.0,[4]
0.81125,0.73875,-28.125,0.9790625,-1.0,20.0,[6]
1.8312499999999998,0.43625,-23.625,1.2340625,1.0,9.0,[4]
0.99875,0.5037499999999999,-19.575000000000003,0.9265625,-1.0,17.0,[5]
1.9812500000000002,0.7262500000000001,-44.775,1.0821875,1.0,13.0,[4]
1.19375,0.35125,-32.175,1.0071875,-1.0,18.0,[1]
1.77875,0.61375,-16.875,0.8796875,1.0,17.0,[5]
